         10624935 function calls (9814326 primitive calls) in 9.771 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2206    0.002    0.000    0.004    0.000 inspect.py:2467(__init__)
     2190    0.002    0.000    0.036    0.000 re.py:271(_compile)
    619/1    0.002    0.000    0.446    0.446 <frozen importlib._bootstrap>:978(_find_and_load)
       27    0.002    0.000    0.012    0.000 __init__.py:909(_rc_params_in_file)
     2487    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
       12    0.002    0.000    0.023    0.002 artist.py:1277(_get_setters_and_targets)
    20861    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      599    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    570/1    0.002    0.000    0.445    0.445 <frozen importlib._bootstrap>:663(_load_unlocked)
      569    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    614/1    0.002    0.000    0.446    0.446 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     1065    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
 1096/368    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
      724    0.002    0.000    0.003    0.000 inspect.py:2750(__init__)
        2    0.002    0.001    0.005    0.002 decoder.py:343(raw_decode)
     6107    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
      373    0.002    0.000    0.004    0.000 colors.py:185(_to_rgba_no_colorcycle)
     4937    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     1065    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      684    0.002    0.000    0.014    0.000 inspect.py:2198(_signature_from_callable)
     2246    0.002    0.000    0.029    0.000 inspect.py:594(getdoc)
      922    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      612    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
       35    0.002    0.000    0.004    0.000 __init__.py:316(namedtuple)
     6181    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
  2246/12    0.002    0.000    0.445    0.037 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    15200    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        4    0.002    0.000    0.003    0.001 codata.py:1500(parse_constants_2002to2014)
     1792    0.001    0.000    0.014    0.000 __init__.py:775(__setitem__)
    10764    0.001    0.000    0.002    0.000 mathtext.py:2839(<genexpr>)
